STCOU,CWNS_NUMBER,TOTAL_OFFICIAL_NEED,PRES_RES_REC_COLLCTN,PRES_RES_REC_TRMT,PRES_N_RES_REC_COLLCTN,PRES_N_RES_REC_TRTM,PROJ_RES_REC_COLLCTN,PROJ_RES_YR,PROJ_RES_REC_TRMT,PROJ_N_RES_REC_COLLCTN,PROJ_N_RES_YR,PROJ_N_RES_REC_TRMT,EPA_REGION,STATE,FACILITY_NAME,OWNER_TYPE,FACILITY_CITY,LATITUDE,LONGITUDE,TMDL_INDICATOR,STATEFP,COUNTYFP,COUNTYNAME,ALAND,AWATER,MEDINC69,MEDINC79,MEDINC89,MEDINC99,MEDINC09,MEANINC09,POP80,POP90,POP00,PCTWHITE00,PCTWHITE10,CSS,MS4,POP10
1001,1000015001,960626,750,750,0,0,820,2015,820,0,0,0,4,AL,AUTAUGAVILLE WWTP,Public,AUTAUGAVILLE,32.4327,-86.6509,N,1,1,Autauga,1539609015,25749942,7529,18433,32240,48458,63458,73642,32259,34222,43671,80.7,78.5,0,1,54571
1003,1000016002,6069412,2000,2000,100,100,3000,2020,3000,150,2020,150,4,AL,Westside WWTP,Public,BAY MINETTE,30.8995,-87.7994,N,1,3,Baldwin,4117584019,1133130502,7337,16917,30199,47028,57447,74182,78556,98280,140415,87.1,85.7,0,1,182265
1003,1000074001,6005231,9500,9500,25000,25000,11800,2017,11800,27000,2017,27000,4,AL,GULF SHORES WWTP,Public,GULF SHORES,30.2766,-87.6666,N,1,3,Baldwin,4117584019,1133130502,7337,16917,30199,47028,57447,74182,78556,98280,140415,87.1,85.7,0,1,182265
1003,1201200005,7903335,5500,5500,30000,30000,10000,2020,10000,50000,2020,50000,4,AL,Orange Beach WWTP,Public,ORANGE BEACH,30.2908,-87.6386,N,1,3,Baldwin,4117584019,1133130502,7337,16917,30199,47028,57447,74182,78556,98280,140415,87.1,85.7,0,1,182265
1003,1000146001,7978237,2533,2533,0,0,3685,2017,3685,0,0,0,4,AL,ROBERTSDALE WWTP,Public,ROBERTSDALE,30.5533,-87.678,N,1,3,Baldwin,4117584019,1133130502,7337,16917,30199,47028,57447,74182,78556,98280,140415,87.1,85.7,0,1,182265
1003,1000101001,5600920,1146,1146,0,0,1348,0,1348,0,0,0,4,AL,LOXLEY LAGOON,Public,LOXLEY,30.6123,-87.7608,N,1,3,Baldwin,4117584019,1133130502,7337,16917,30199,47028,57447,74182,78556,98280,140415,87.1,85.7,0,1,182265
1005,1000244001,934427,2216,2216,0,0,2206,2016,2206,0,0,0,4,AL,CLIO LAGOON,Public,CLIO,31.7213,-85.6261,N,1,5,Barbour,2291818680,50864677,5132,11952,23838,31877,40109,48736,24756,25417,29038,51.3,48,0,1,27457
1005,1000267002,7367520,10500,10500,0,0,13500,2032,13500,0,0,0,4,AL,EUFAULA WWTP,Public,EUFAULA,31.8531,-85.14,N,1,5,Barbour,2291818680,50864677,5132,11952,23838,31877,40109,48736,24756,25417,29038,51.3,48,0,1,27457
1005,1000336001,1115627,306,306,0,0,612,0,612,0,0,0,4,AL,LOUISVILLE LAGOON,Public,LOUISVILLE,31.8189,-85.5689,N,1,5,Barbour,2291818680,50864677,5132,11952,23838,31877,40109,48736,24756,25417,29038,51.3,48,0,1,27457
1005,1000242003,1692450,2550,2550,0,0,3007,2027,3007,0,0,0,4,AL,CLAYTON WWTP,Public,CLAYTON,31.8851,-85.4863,N,1,5,Barbour,2291818680,50864677,5132,11952,23838,31877,40109,48736,24756,25417,29038,51.3,48,0,1,27457
